Epoch	Train_Loss	Val_Loss	Elapsed_s	World_Size
------------------------------
1	1.649721	0.789286	3179	4
2	0.725796	0.690603	6362	4
3	0.657699	0.642351	9548	4
4	0.617535	0.617660	12735	4
5	0.591674	0.600885	15924	4
6	0.567518	0.580984	19111	4
7	0.539233	0.563154	22298	4
8	0.520667	0.552860	25485	4
9	0.502153	0.545241	28674	4
10	0.485631	0.537759	31864	4
11	0.472781	0.532717	35053	4
12	0.459768	0.528913	38243	4
13	0.447027	0.525840	41432	4
14	0.434951	0.523884	44624	4
15	0.423163	0.524664	47816	4
16	0.413074	0.524491	50999	4
17	0.400594	0.526000	54181	4
18	0.389836	0.523788	57365	4
19	0.377087	0.525344	60559	4
