Epoch	Train_Loss	Val_Loss	Elapsed_s	World_Size
------------------------------
1	0.412222	0.089514	1371	4
2	0.071549	0.052461	2742	4
3	0.054095	0.049365	4120	4
4	0.054727	0.048868	5495	4
5	0.050569	0.052362	6871	4
6	0.045344	0.046361	8240	4
7	0.036304	0.030949	9620	4
8	0.025089	0.018880	11000	4
9	0.037687	0.021881	12371	4
10	0.020425	0.019839	13741	4
11	0.017738	0.015005	15111	4
12	0.013676	0.016675	16480	4
13	0.016724	0.017725	17847	4
14	0.010096	0.012438	19215	4
15	0.015313	0.008678	20592	4
16	0.010115	0.013451	21963	4
17	0.009949	0.015570	23328	4
18	0.009497	0.008138	24695	4
19	0.007682	0.024834	26070	4
20	0.008076	0.008192	27437	4
21	0.007068	0.007359	28804	4
22	0.006675	0.008917	30175	4
23	0.006322	0.005299	31542	4
24	0.004719	0.005724	32914	4
25	0.004155	0.007180	34280	4
26	0.005231	0.008596	35650	4
27	0.002864	0.006828	37022	4
28	0.004962	0.003558	38391	4
29	0.002480	0.003679	39762	4
30	0.002798	0.004847	41130	4
31	0.002964	0.004776	42501	4
32	0.003106	0.004654	43866	4
33	0.002052	0.003396	45234	4
34	0.001018	0.004461	46619	4
35	0.001752	0.001940	47989	4
36	0.001192	0.003289	49363	4
37	0.000666	0.003756	50730	4
38	0.001534	0.003058	52093	4
39	0.000906	0.002522	53460	4
40	0.000744	0.001751	54827	4
41	0.001114	0.002550	56206	4
42	0.000699	0.002727	57575	4
43	0.000232	0.002397	58951	4
44	0.000373	0.002133	60318	4
45	0.000050	0.002462	61686	4
