Epoch	Train_Loss	Val_Loss	Elapsed_s	World_Size
------------------------------
1	3.269976	0.935754	751	4
2	0.839312	0.714713	1397	4
3	0.737594	0.620981	2041	4
4	0.650524	0.578725	2684	4
5	0.615766	0.543584	3328	4
6	0.568826	0.499418	3971	4
7	0.511973	0.461436	4613	4
8	0.476551	0.437135	5255	4
9	0.440296	0.418848	5897	4
10	0.409105	0.403228	6539	4
11	0.384984	0.392875	7181	4
12	0.364339	0.381625	7824	4
13	0.349350	0.372570	8465	4
14	0.335419	0.365673	9107	4
15	0.324911	0.361996	9749	4
16	0.313837	0.355787	10392	4
17	0.303944	0.350964	11034	4
18	0.294589	0.346013	11676	4
19	0.284427	0.343041	12318	4
20	0.278308	0.340081	12959	4
21	0.267976	0.337808	13602	4
22	0.262454	0.336661	14243	4
23	0.253728	0.334195	14886	4
24	0.244739	0.333347	15530	4
25	0.237177	0.330913	16171	4
26	0.230024	0.330197	16812	4
27	0.222326	0.329277	17455	4
28	0.214451	0.329420	18098	4
29	0.207291	0.330135	18739	4
30	0.199550	0.329602	19380	4
31	0.191639	0.331052	20022	4
32	0.183882	0.331372	20662	4
