Epoch	Train_Loss	Val_Loss	Elapsed_s	World_Size
------------------------------
1	1.518019	0.746519	345	4
2	0.702406	0.601397	441	4
3	0.596591	0.553445	539	4
4	0.543111	0.534352	636	4
5	0.516252	0.521833	732	4
6	0.483341	0.499473	829	4
7	0.445540	0.478352	927	4
8	0.413401	0.471694	1024	4
9	0.381757	0.461983	1121	4
10	0.354639	0.456839	1217	4
11	0.338272	0.457575	1314	4
12	0.315554	0.452470	1411	4
13	0.299245	0.450144	1508	4
14	0.275734	0.452347	1604	4
15	0.255844	0.454830	1700	4
16	0.240845	0.459414	1796	4
17	0.232787	0.461865	1893	4
18	0.213173	0.465250	1989	4
