Epoch	Train_Loss	Val_Loss	Elapsed_s	World_Size
------------------------------
1	1.052331	0.208777	497	4
2	0.145696	0.119613	719	4
3	0.116862	0.117192	941	4
4	0.123071	0.086393	1162	4
5	0.151605	0.144952	1382	4
6	0.100220	0.102345	1598	4
7	0.070956	0.057784	1820	4
8	0.117324	0.096360	2038	4
9	0.074380	0.072131	2260	4
10	0.065494	0.052863	2478	4
11	0.057470	0.048076	2697	4
12	0.057336	0.051462	2915	4
13	0.053223	0.067930	3134	4
14	0.048897	0.040579	3349	4
15	0.047138	0.059445	3565	4
16	0.045426	0.047452	3781	4
17	0.046230	0.048628	3995	4
18	0.042626	0.043940	4210	4
19	0.043690	0.050666	4425	4
